CPostal;Poblacion;Provincia
00000;-;
02004;ALBACETE;BURGOS
02155;TINAJEROS;ALBACETE
02310;VIVEROS;ALBACETE
02340;ROBLEDO;ALBACETE
02600;VILLARROBLEDO;ALBACETE
02611;OSSA DE MONTIEL;ALBACETE
04610;CUEVAS DE ALMANZORA;ALMERIA
06650;SIRUELA;BADAJOZ
09001;VILLAGONZALO PEDERNALES;BURGOS
12080;ALMAZORA;CASTELLON
13100;PIEDRABUENA;CIUDAD REAL
13150;CARRIàN DE CVA.;CIUDAD REAL
13160;TORRALVA DE CALATRAVA;CIUDAD REAL
13170;MIGUELTURRA;CIUDAD REAL
13179;POZUELO DE CALATRAVA;CIUDAD REAL
13190;CORRAL DE CALATRAVA;CIUDAD REAL
13200;MANZANARES;CIUDAD REAL
13210;VILLARTA DE SAN JUAN;CIUDAD REAL
13220;LLANOS DEL CAUDILLO;CIUDAD REAL
13230;MEMBRILLA;CIUDAD REAL
13240;LA SOLANA;CIUDAD REAL
13247;SAN CARLOS DEL VALLE;CIUDAD REAL
13248;ALHAMBRA;CIUDAD REAL
13249;RUIDERA;CIUDAD REAL
13250;DAIMIEL;CIUDAD REAL
13260;BOLAÑOS DE CVA.;CIUDAD REAL
13270;ALMAGRO;CIUDAD REAL
13279;VALENZUELA DE CALATRAVA;CIUDAD REAL
13300;VALDEPEÑAS;CIUDAD REAL
13320;VILLANUEVA DE LOS INFANTES;CIUDAD REAL
13329;CARRIZOSA;CIUDAD REAL
13330;VILLANUEVA DE LA FUENTE;CIUDAD REAL
13332;VILLAHERMOSA;CIUDAD REAL
13340;ALBALADEJO;CIUDAD REAL
13345;COZAR;CIUDAD REAL
13350;MORAL DE CVA.;CIUDAD REAL
13370;CALZADA DE CALATRAVA;CIUDAD REAL
13380;ALDEA DEL REY;CIUDAD REAL
13400;ALMADEN;CIUDAD REAL
13410;AGUDO;CIUDAD REAL
13413;ALAMILLO;CIUDAD REAL
13420;MALAGON;CIUDAD REAL
13440;ARGAMASILLA DE CALATRAVA;CIUDAD REAL
13500;PUERTOLLANO;CIUDAD REAL
13600;ALCAZAR DE SAN JUAN;CIUDAD REAL
13610;CAMPO DE CRIPTANA;CIUDAD REAL
13620;PEDRO MUÑOZ;CIUDAD REAL
13630;SOCUELLAMOS;CIUDAD REAL
13640;HERENCIA;CIUDAD REAL
13650;PUERTO LAPICE;CIUDAD REAL
13670;VILLARRUBIA DE LOS OJOS;CIUDAD REAL
13679;ARENAS DE SAN JUAN;CIUDAD REAL
13680;FUENTE EL FRESNO;CIUDAD REAL
13700;TOMELLOSO;CIUDAD REAL
13710;ARGAMASILLA DE ALBA;CIUDAD REAL
13720;CINCO CASAS;CIUDAD REAL
13730;SANTA CRUZ DE MUDELA;CIUDAD REAL
13740;TORRENUEVA;CIUDAD REAL
13760;ALMURADIEL;CIUDAD REAL
13770;VISO DEL MARQUES;CIUDAD REAL
13998;TORRE DE JUAN ABAD;CIUDAD REAL
13999;MONTIEL;CIUDAD REAL
14013;CORDOBA;CàRDOBA
16220;QUINTANAR DEL REY;CUENCA
16400;TARANCON;
16600;SAN CLEMENTE;CUENCA
19004;GUADALAJARA;GUADALAJARA
19200;AZUQUECA DE HENARES;GUADALAJARA
23250;SANTISTEBAN DEL PUERTO;JAEN
23350;PUENTE DE GENAVE;JAEN
23360;LA PUERTA DE SEGURA;JAEN
28000;MADRID;MADRID
28001;ALCALA DE HENARES;MADRID
28002;PINTO;MADRID
28018;ALCOBENDAS;MADRID
28100;ALGETE;MADRID
28200;SAN LORENZO DEL ESCORIAL;MADRID
28230;LAS ROZAS;MADRID
28260;GALAPAGAR;MADRID
28660;BOADILLA DEL MONTE;MADRID
28770;COLMENAR VIEJO;MADRID
28830;SAN FERNANDO DE HENARES;MADRID
28923;ALCORCON;MADRID
40140;VALVERDE DEL MAJANO;SEGOVIA
45280;OLIAS DEL REY;TOLEDO
45300;OCAÑA;TOLEDO
45311;DOSBARRIOS;TOLEDO
45350;NOBLEJAS;TOLEDO
45510;FUENSALIDA;TOLEDO
45518;GERINDOTE;TOLEDO
45600;TALAVERA DE LA REINA;TOLEDO
45700;CONSUEGRA;TOLEDO
45710;MADRIDEJOS;TOLEDO
45720;CAMUÑAS;TOLEDO
45730;VILLAFRANCA DE LOS CABALLEROS;TOLEDO
45770;PUEBLA DE ALMORADIEL;TOLEDO
45790;QUERO;TOLEDO
45800;QUINTANAR DE LA ORDEN;TOLEDO
45860;VILLACAÑAS;TOLEDO
46394;RIBARROJA DEL TURIA;VALENCIA
46520;SAGUNTO;VALENCIA
